message: Controller: Game Action: Games Time: 27086 |              username: notauth:: |              serverName: localhost |              port: 59495 |              url: / |              logger GameStore.Web.Filters.LogAttribute |              callSite GameStore.Web.Filters.LogAttribute.OnActionExecuted |             eventProperties: 
message: Controller: Game Action: GetGameCount Time: 27199 |              username: notauth:: |              serverName: localhost |              port: 59495 |              url: / |              logger GameStore.Web.Filters.LogAttribute |              callSite GameStore.Web.Filters.LogAttribute.OnActionExecuted |             eventProperties: 
message: Controller: Game Action: Details Time: 27441 |              username: notauth:: |              serverName: localhost |              port: 59495 |              url: /Game/game_15 |              logger GameStore.Web.Filters.LogAttribute |              callSite GameStore.Web.Filters.LogAttribute.OnActionExecuted |             eventProperties: 
message: Controller: Game Action: GetGameCount Time: 27441 |              username: notauth:: |              serverName: localhost |              port: 59495 |              url: /Game/game_15 |              logger GameStore.Web.Filters.LogAttribute |              callSite GameStore.Web.Filters.LogAttribute.OnActionExecuted |             eventProperties: 
message: Controller: Game Action: Comments Time: 27597 |              username: notauth:: |              serverName: localhost |              port: 59495 |              url: /Game/game_15/Comments |              logger GameStore.Web.Filters.LogAttribute |              callSite GameStore.Web.Filters.LogAttribute.OnActionExecuted |             eventProperties: 
message: Controller: Game Action: NewComment Time: 27597 |              username: notauth:: |              serverName: localhost |              port: 59495 |              url: /Game/game_15/Comments |              logger GameStore.Web.Filters.LogAttribute |              callSite GameStore.Web.Filters.LogAttribute.OnActionExecuted |             eventProperties: 
message: Controller: Game Action: GetGameCount Time: 27598 |              username: notauth:: |              serverName: localhost |              port: 59495 |              url: /Game/game_15/Comments |              logger GameStore.Web.Filters.LogAttribute |              callSite GameStore.Web.Filters.LogAttribute.OnActionExecuted |             eventProperties: 
message: Controller: Game Action: Comments Time: 27699 |              username: notauth:: |              serverName: localhost |              port: 59495 |              url: /Game/game_15/Comments |              logger GameStore.Web.Filters.LogAttribute |              callSite GameStore.Web.Filters.LogAttribute.OnActionExecuted |             eventProperties: 
message: Controller: Game Action: NewComment Time: 27699 |              username: notauth:: |              serverName: localhost |              port: 59495 |              url: /Game/game_15/Comments |              logger GameStore.Web.Filters.LogAttribute |              callSite GameStore.Web.Filters.LogAttribute.OnActionExecuted |             eventProperties: 
message: Controller: Game Action: GetGameCount Time: 27700 |              username: notauth:: |              serverName: localhost |              port: 59495 |              url: /Game/game_15/Comments |              logger GameStore.Web.Filters.LogAttribute |              callSite GameStore.Web.Filters.LogAttribute.OnActionExecuted |             eventProperties: 
message: Controller: Game Action: Games Time: 14891 |              username: notauth:: |              serverName: localhost |              port: 59495 |              url: / |              logger GameStore.Web.Filters.LogAttribute |              callSite GameStore.Web.Filters.LogAttribute.OnActionExecuted |             eventProperties: 
message: Controller: Game Action: GetGameCount Time: 15039 |              username: notauth:: |              serverName: localhost |              port: 59495 |              url: / |              logger GameStore.Web.Filters.LogAttribute |              callSite GameStore.Web.Filters.LogAttribute.OnActionExecuted |             eventProperties: 
message: Controller: Game Action: Details Time: 15290 |              username: notauth:: |              serverName: localhost |              port: 59495 |              url: /Game/game_15 |              logger GameStore.Web.Filters.LogAttribute |              callSite GameStore.Web.Filters.LogAttribute.OnActionExecuted |             eventProperties: 
message: Controller: Game Action: GetGameCount Time: 15290 |              username: notauth:: |              serverName: localhost |              port: 59495 |              url: /Game/game_15 |              logger GameStore.Web.Filters.LogAttribute |              callSite GameStore.Web.Filters.LogAttribute.OnActionExecuted |             eventProperties: 
message: Controller: Game Action: Comments Time: 15457 |              username: notauth:: |              serverName: localhost |              port: 59495 |              url: /Game/game_15/Comments |              logger GameStore.Web.Filters.LogAttribute |              callSite GameStore.Web.Filters.LogAttribute.OnActionExecuted |             eventProperties: 
message: Controller: Game Action: NewComment Time: 15458 |              username: notauth:: |              serverName: localhost |              port: 59495 |              url: /Game/game_15/Comments |              logger GameStore.Web.Filters.LogAttribute |              callSite GameStore.Web.Filters.LogAttribute.OnActionExecuted |             eventProperties: 
message: Controller: Game Action: GetGameCount Time: 15458 |              username: notauth:: |              serverName: localhost |              port: 59495 |              url: /Game/game_15/Comments |              logger GameStore.Web.Filters.LogAttribute |              callSite GameStore.Web.Filters.LogAttribute.OnActionExecuted |             eventProperties: 
message: Controller: Game Action: Comments Time: 15603 |              username: notauth:: |              serverName: localhost |              port: 59495 |              url: /Game/game_15/Comments |              logger GameStore.Web.Filters.LogAttribute |              callSite GameStore.Web.Filters.LogAttribute.OnActionExecuted |             eventProperties: 
message: Controller: Game Action: NewComment Time: 15603 |              username: notauth:: |              serverName: localhost |              port: 59495 |              url: /Game/game_15/Comments |              logger GameStore.Web.Filters.LogAttribute |              callSite GameStore.Web.Filters.LogAttribute.OnActionExecuted |             eventProperties: 
message: Controller: Game Action: GetGameCount Time: 15658 |              username: notauth:: |              serverName: localhost |              port: 59495 |              url: /Game/game_15/Comments |              logger GameStore.Web.Filters.LogAttribute |              callSite GameStore.Web.Filters.LogAttribute.OnActionExecuted |             eventProperties: 
message: Controller: Game Action: Comments Time: 15761 |              username: notauth:: |              serverName: localhost |              port: 59495 |              url: /Game/game_15/Comments |              logger GameStore.Web.Filters.LogAttribute |              callSite GameStore.Web.Filters.LogAttribute.OnActionExecuted |             eventProperties: 
message: Controller: Game Action: NewComment Time: 15761 |              username: notauth:: |              serverName: localhost |              port: 59495 |              url: /Game/game_15/Comments |              logger GameStore.Web.Filters.LogAttribute |              callSite GameStore.Web.Filters.LogAttribute.OnActionExecuted |             eventProperties: 
message: Controller: Game Action: GetGameCount Time: 15761 |              username: notauth:: |              serverName: localhost |              port: 59495 |              url: /Game/game_15/Comments |              logger GameStore.Web.Filters.LogAttribute |              callSite GameStore.Web.Filters.LogAttribute.OnActionExecuted |             eventProperties: 
message: Controller: Game Action: Games Time: 2241 |              username: notauth:: |              serverName: localhost |              port: 59495 |              url: / |              logger GameStore.Web.Filters.LogAttribute |              callSite GameStore.Web.Filters.LogAttribute.OnActionExecuted |             eventProperties: 
message: Controller: Game Action: GetGameCount Time: 2308 |              username: notauth:: |              serverName: localhost |              port: 59495 |              url: / |              logger GameStore.Web.Filters.LogAttribute |              callSite GameStore.Web.Filters.LogAttribute.OnActionExecuted |             eventProperties: 
message: Controller: Game Action: Details Time: 8396 |              username: notauth:: |              serverName: localhost |              port: 59495 |              url: /Game/game_15 |              logger GameStore.Web.Filters.LogAttribute |              callSite GameStore.Web.Filters.LogAttribute.OnActionExecuted |             eventProperties: 
message: Controller: Game Action: GetGameCount Time: 8396 |              username: notauth:: |              serverName: localhost |              port: 59495 |              url: /Game/game_15 |              logger GameStore.Web.Filters.LogAttribute |              callSite GameStore.Web.Filters.LogAttribute.OnActionExecuted |             eventProperties: 
message: Controller: Game Action: Comments Time: 8560 |              username: notauth:: |              serverName: localhost |              port: 59495 |              url: /Game/game_15/Comments |              logger GameStore.Web.Filters.LogAttribute |              callSite GameStore.Web.Filters.LogAttribute.OnActionExecuted |             eventProperties: 
message: Controller: Game Action: NewComment Time: 8560 |              username: notauth:: |              serverName: localhost |              port: 59495 |              url: /Game/game_15/Comments |              logger GameStore.Web.Filters.LogAttribute |              callSite GameStore.Web.Filters.LogAttribute.OnActionExecuted |             eventProperties: 
message: Controller: Game Action: GetGameCount Time: 8561 |              username: notauth:: |              serverName: localhost |              port: 59495 |              url: /Game/game_15/Comments |              logger GameStore.Web.Filters.LogAttribute |              callSite GameStore.Web.Filters.LogAttribute.OnActionExecuted |             eventProperties: 
message:    в System.Data.Entity.Internal.InternalContext.SaveChanges()
   в System.Data.Entity.Internal.LazyInternalContext.SaveChanges()
   в System.Data.Entity.DbContext.SaveChanges()
   в GameStore.Infrastructure.UnitOfWork.Concrete.EfUnitOfWork.Save() в e:\Repositories\T2\GameStore\GameStore.Infrastructure\UnitOfWork\Concrete\EfUnitOfWork.cs:строка 61
   в GameStore.Application.Services.Concrete.CommentService.Delete(Guid id) в e:\Repositories\T2\GameStore\GameStore.Application\Services\Concrete\CommentService.cs:строка 174 |              username: notauth:: |              serverName: localhost |              port: 59495 |              url: /Comment/Remove/1aaef67c-0f75-4cce-bdfc-2f23a098a7e2 |              logger GameStore.Application.Services.Abstract.ICommentService |              callSite GameStore.Application.Services.Concrete.CommentService.Delete |             eventProperties: 
message: Controller: Game Action: Games Time: 1738 |              username: notauth:: |              serverName: localhost |              port: 59495 |              url: / |              logger GameStore.Web.Filters.LogAttribute |              callSite GameStore.Web.Filters.LogAttribute.OnActionExecuted |             eventProperties: 
